# ID,label,width,depth,height,root_density,hull_area,shape_index,sum_eigen,omnivariance,eigenentropy,linearity,planarity,sphericity,curvature,n_points,elong_xy,elong_yz,elong_xz,volume,prof_x_0,prof_x_1,prof_x_2,prof_x_3,prof_x_4,prof_x_5,prof_y_0,prof_y_1,prof_y_2,prof_y_3,prof_y_4,prof_y_5,prof_z_0,prof_z_1,prof_z_2,prof_z_3,prof_z_4,prof_z_5
  13.00000,   0.00000, 264.20999, 460.13000,  15.49000,   0.00149, 172.55748,   3.39995,   1.31361,   0.26690,   0.49944,   0.85086,   0.03602,   0.11311,   0.08961,6037.00000,   1.74153,  29.70495,  17.05680,   0.00321,   0.03763,   0.04156,   0.07850,   0.08388,   0.08836,   0.08615,   0.06300,   0.05965,   0.08444,   0.08835,   0.08828,   0.03792,   0.01427,   0.00798,   0.27794,   0.54756,   0.17244,   0.00544
  14.00000,   0.00000, 390.89001, 339.45001,   8.39000,   0.00125, 184.25580,   3.53537,   0.45689,   0.08651,   0.72462,   0.09281,   0.85048,   0.05667,   0.02886,7182.00000,   1.15154,  40.45883,  46.58994,   0.00645,   0.05431,   0.06575,   0.06455,   0.06920,   0.06903,   0.07035,   0.07376,   0.08328,   0.08315,   0.07925,   0.08044,   0.07482,   0.01317,   0.02513,   0.06084,   0.36415,   0.51633,   0.26519
  15.00000,   0.00000, 495.50000, 419.69000,  13.16000,   0.00042, 765.83606,   7.11978,   0.59611,   0.18237,   0.91110,   0.51076,   0.10340,   0.38580,   0.20576,26353.00000,   1.18063,  31.89132,  37.65195,   0.00963,   0.02167,   0.02326,   0.02128,   0.03616,   0.04217,   0.04008,   0.02217,   0.02200,   0.02341,   0.05008,   0.04820,   0.04155,   0.01016,   0.01968,   0.02598,   0.14079,   0.31249,   0.11786
  16.00000,   0.00000, 276.97000, 417.39999,  12.85000,   0.00093, 137.01289,   3.09228,   0.47160,   0.08926,   0.73259,   0.12338,   0.82078,   0.05580,   0.02888,5379.00000,   1.50702,  32.48246,  21.55407,   0.00362,   0.06669,   0.07265,   0.07207,   0.07279,   0.06902,   0.03716,   0.07936,   0.09111,   0.11905,   0.11959,   0.10122,   0.07447,   0.07760,   0.04938,   0.14153,   0.36748,   0.31524,   0.23455
  17.00000,   0.00000, 226.78000, 300.14001,   8.72000,   0.00071, 208.93623,   3.64275,   0.41575,   0.06016,   0.67623,   0.13840,   0.83800,   0.02356,   0.01250,7010.00000,   1.32349,  34.41969,  26.00685,   0.01181,   0.07140,   0.07559,   0.07574,   0.04908,   0.03720,   0.03641,   0.07581,   0.09531,   0.09186,   0.05175,   0.05216,   0.04350,   0.00126,   0.00283,   0.11234,   0.72218,   0.81092,   0.55635
  18.00000,   0.00000, 496.98999,  15.79000,   7.56000,   0.00447,  31.18900,   1.37856,   0.45610,   0.10410,   0.74831,   0.26612,   0.63395,   0.09989,   0.05447,1118.00000,  31.47496,   2.08862,  65.73933,   0.01884,   0.17164,   0.24658,   0.24054,   0.23933,   0.24416,   0.20911,   0.11342,   0.15215,   0.13555,   0.14731,   0.13832,   0.08645,   0.04962,   0.04595,   0.08271,   0.19482,   0.92631,   0.75539
  19.00000,   0.00000, 278.89999, 316.29001,  10.64000,   0.00066, 157.60658,   3.30481,   0.46106,   0.12777,   0.79888,   0.05145,   0.71559,   0.23290,   0.10677,6018.00000,   1.13406,  29.72648,  26.21238,   0.00641,   0.04517,   0.08085,   0.08530,   0.08613,   0.08552,   0.07089,   0.07996,   0.08485,   0.08968,   0.06971,   0.06473,   0.06458,   0.02730,   0.03391,   0.01136,   0.32115,   0.62364,   0.00305
  20.00000,   0.00000,  11.41000, 323.78000,  14.74000,   0.00180, 159.40784,   3.24226,   0.52019,   0.13804,   0.81018,   0.51147,   0.31190,   0.17660,   0.10606,6106.00000,  28.37684,  21.96606,   1.29185,   0.11213,   0.03996,   0.10515,   0.09749,   0.09869,   0.09895,   0.08560,   0.05098,   0.05876,   0.06007,   0.06672,   0.07324,   0.07312,   0.01518,   0.07493,   0.03388,   0.03529,   0.56133,   0.13777
  21.00000,   0.00000, 164.77000, 459.03000,  16.21000,   0.00091, 188.95256,   3.48071,   0.44210,   0.07363,   0.70015,   0.23074,   0.73393,   0.03529,   0.01956,6609.00000,   2.78588,  28.31769,  10.16471,   0.00539,   0.06905,   0.07861,   0.08608,   0.10499,   0.08586,   0.05427,   0.04502,   0.05695,   0.06497,   0.06567,   0.04241,   0.03300,   0.02057,   0.03511,   0.17430,   0.49631,   0.37124,   0.27547
  22.00000,   0.00000, 110.51000, 225.59000,  12.54000,   0.00050, 470.96478,   5.41044,   0.43821,   0.09081,   0.71971,   0.30613,   0.62340,   0.07043,   0.03992,18068.00000,   2.04135,  17.98962,   8.81259,   0.05780,   0.01826,   0.03399,   0.03320,   0.03220,   0.03422,   0.02098,   0.05727,   0.07163,   0.07059,   0.07519,   0.06817,   0.04778,   0.01450,   0.14219,   0.15158,   0.09787,   0.25884,   0.07303
