# ID,label,width,depth,height,elongation
   0.00000,  10.48000,   4.64999,   5.02000,   2.25376
   1.00000,  10.54001,   6.13998,   3.60000,   1.71662
   2.00000,  17.04000,  16.06000,   7.49000,   1.06102
   3.00000,  21.16000,  16.75000,   7.07000,   1.26328
   4.00000,  23.57999,  22.09001,   5.21000,   1.06745
   5.00000,   8.62001,  14.22000,   3.70000,   1.64965
   6.00000,   9.92999,   8.89999,   1.66000,   1.11573
   7.00000,  16.31000,  26.04001,   3.75000,   1.59657
   8.00000,  13.87000,  19.48001,   5.77000,   1.40447
   9.00000,   9.73999,  19.44000,   6.66000,   1.99589
  10.00000,  12.37003,  16.28000,   3.59000,   1.31608
  11.00000,  17.12000,  20.04999,   6.65000,   1.17114
  12.00000,   9.37999,   5.84000,   4.32000,   1.60616
  13.00000,  14.42000,  14.23001,   5.85000,   1.01335
  14.00000,  15.26001,  12.64001,   4.82000,   1.20728
  15.00000,  32.50000,  28.92999,   9.57000,   1.12340
  16.00000,  15.37000,  10.25998,   5.06000,   1.49805
  17.00000,  17.37000,  14.62003,   2.72000,   1.18810
  18.00000,   4.44000,   7.76000,   2.92000,   1.74774
  19.00000,  13.22000,  13.23001,   5.88000,   1.00076
  20.00000,  11.41000,  15.67001,   6.99000,   1.37336
  21.00000,  12.53000,  19.48001,   4.37000,   1.55467
  22.00000,  34.71000,  15.36000,   8.13000,   2.25976
  23.00000,  22.16998,  18.81000,   8.38000,   1.17863
  24.00000,  16.53000,  15.04001,   4.66000,   1.09907
  25.00000,   9.78998,  12.31000,   2.12000,   1.25741
  26.00000,  20.11000,  18.44002,   7.72000,   1.09056
  27.00000,   8.71000,  10.74002,   3.03000,   1.23307
  28.00000,  13.87000,  14.88000,   5.61000,   1.07282
  29.00000,  22.71001,  16.85001,   4.31000,   1.34777
  30.00000,  17.89000,  18.34000,   7.49000,   1.02515
  31.00000,  24.20000,  25.00000,   7.64000,   1.03306
  32.00000,   9.35999,  14.85999,   3.53000,   1.58761
  33.00000,   7.96999,   7.56000,   6.90000,   1.05423
  34.00000,  28.53000,  20.81000,   8.35000,   1.37098
  35.00000,  13.98999,  15.48001,   6.74000,   1.10651
  36.00000,  14.64000,  13.51999,   7.29000,   1.08284
  37.00000,  15.42001,  17.14001,   6.93000,   1.11154
  38.00000,  12.36000,  18.11002,   5.82000,   1.46521
  39.00000,   7.97000,   5.29999,   2.85000,   1.50377
  40.00000,   5.78999,   9.40002,   3.44000,   1.62349
  41.00000,  10.70000,   6.89001,   3.50000,   1.55297
  42.00000,  22.66000,  15.99002,   6.76000,   1.41713
  43.00000,  16.34000,  19.12000,   8.13000,   1.17013
  44.00000,  20.45999,  16.82001,   4.83000,   1.21641
  45.00000,  14.58000,  15.97998,   6.61000,   1.09602
  46.00000,  16.37997,   9.77002,   8.29000,   1.67655
  47.00000,  14.67999,  27.20001,   8.00000,   1.85286
  48.00000,  13.32999,   8.51999,   5.52000,   1.56455
  49.00000,   9.55000,  15.39999,   7.57000,   1.61256
  50.00000,  16.70000,  14.95999,   4.89000,   1.11631
  51.00000,  15.14001,  16.94998,   4.82000,   1.11955
  52.00000,  24.48999,  19.33002,   9.35000,   1.26694
  53.00000,   8.70999,   8.79001,   4.15000,   1.00919
  54.00000,  22.43001,  17.32001,  10.97000,   1.29503
  55.00000,  20.88000,  18.64999,   9.15000,   1.11957
  56.00000,  10.17999,  17.47998,   4.78000,   1.71709
  57.00000,  16.28000,  20.19000,   6.45000,   1.24017
  58.00000,  10.71001,   6.06000,   3.58000,   1.76733
  59.00000,  14.80002,  17.05002,   4.30000,   1.15203
  60.00000,  31.98001, 124.64999,   9.45000,   3.89775
  61.00000,  11.17999,  15.34000,   4.85000,   1.37209
  62.00000,   9.76999,  12.53000,   5.33000,   1.28250
  63.00000,   9.92999,  12.10999,   3.71000,   1.21953
  64.00000,  37.63000,  28.88998,   9.42000,   1.30253
